candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,count_negative,count_neutral,count_positive,sentiment,has_twitter,num_endorsements
Steven Horsford,RepHorsford,StevenHorsford,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Advanced,None,On the Ballot,3.8199998999999996,61.740002000000004,Yes,Nonwhite,No,No,Yes,No,No,No,Yes,,Yes,Yes,,,No,No,,,,,,0.0,0.0,0.0,,True,3
Allen Rheinhart,AllenRheinhart,,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,0.94999999,3.3299999,No,Nonwhite,No,No,No,No,No,No,No,No,,No,,,No,,,,,,,263.0,213.0,184.0,1.7606060606060605,True,0
Bobby Mahendra,Bobby_Mahendra,,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,0.94999999,2.6700001,No,Nonwhite,No,No,No,No,No,No,No,No,,No,,,No,,,,,,,80.0,100.0,162.0,2.47953216374269,True,0
Daniel Burleigh,BurleighDaniel,,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,0.94999999,2.26,No,,No,No,No,No,No,No,No,No,,No,,,No,,,,,,,286.0,381.0,1668.0,3.18372591006424,True,0
David Drew Knight,ddrewknight,,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,0.94999999,4.4299998,No,,No,No,No,No,No,No,No,No,,No,,,No,,,,,,,0.0,0.0,0.0,,True,0
Jacky Rosen,SenJackyRosen,RosenforNevada,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Advanced,None,On the Ballot,0.94999999,77.110001,Yes,,No,No,Yes,No,Yes,No,Yes,Yes,,Yes,,,No,,,,,,,370.0,209.0,551.0,2.3203539823008845,True,3
Jesse Sbaih,JesseSbaih,,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,0.94999999,3.1700001,No,Nonwhite,No,No,No,Yes,No,No,No,No,,No,,,Yes,,,,,,,226.0,187.0,266.0,2.1178203240058906,True,1
David Pechefsky,DPforcongress,,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,None,-11.63,11.9,No,,No,No,No,No,No,No,,,,,,,,,,,,,,0.0,0.0,0.0,,True,0
Elaine DiMasi,ElaineDiMasi,,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,None,-11.63,5.920000099999999,No,,No,No,No,No,Yes,No,,,,,,,,,,,,,,0.0,0.0,0.0,,True,0
Kate Browning,KateBrowningNY,,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,None,-11.63,30.32,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,15.0,4.0,49.0,3.0,True,0
Perry Gershon,perrygershon,,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-11.63,35.450001,Yes,,No,No,No,Yes,Yes,No,,,,,,,,,,,,,,125.0,131.0,396.0,2.8312883435582816,True,0
Vivian Viloria-Fisher,vivianviloria,,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,None,-11.63,16.26,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,,,,,16.0,14.0,14.0,1.9090909090909087,True,0
Max Rose,MaxRose4NY,,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-8.8100004,62.650002,Yes,,Yes,No,No,No,No,No,Yes,,,,,,,,,,Yes,Yes,,262.0,190.0,501.0,2.5015739769150054,True,3
Michael DeVito Jr.,mdevitojr,,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,-8.8100004,18.42,No,Nonwhite,Yes,No,No,No,No,No,No,,,,,,,,,,No,No,,232.0,227.0,905.0,2.986803519061584,True,0
Omar Vaid,omarvaid,,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,-8.8100004,8.430000300000001,No,Nonwhite,No,No,No,No,No,No,No,,,,,,,,,,No,No,,367.0,260.0,955.0,2.7433628318584065,True,0
Paul Sperling,PaulSperlingNY,,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,-8.8100004,2.29,No,,No,No,No,No,No,No,No,,,,,,,,,,No,No,,71.0,43.0,101.0,2.2790697674418605,True,0
Radhakrishna Mohan,,,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,-8.8100004,3.78,No,Nonwhite,No,No,No,No,Yes,No,No,,,,,,,,,,No,No,,,,,,False,0
Zach Emig,zachemig2018,,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,-8.8100004,1.26,No,,No,No,No,No,No,No,No,,,,,,,,,,No,No,,0.0,0.0,0.0,,True,0
Antonio Delgado,DelgadoforNY19,,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-6.079999900000001,21.99,Yes,Nonwhite,No,No,No,No,No,No,,No,Yes,,,,,No,,No,,No,,351.0,190.0,1062.0,2.8870867124142228,True,1
Brian Flynn,brianflynnus,,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,-6.079999900000001,13.18,No,White,No,No,No,Yes,No,No,,No,No,,,,,No,,No,,No,,161.0,159.0,897.0,3.209531635168447,True,0
David Clegg,davieclegg,,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,-6.079999900000001,11.08,No,,No,No,No,Yes,No,No,,No,No,,,,,No,,Yes,,No,,398.0,227.0,407.0,2.0174418604651163,True,1
Erin Collier,ErinCollier2018,,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,-6.079999900000001,4.8600001,No,,No,No,No,No,No,No,,Yes,Yes,,,,,No,,No,,No,,46.0,20.0,103.0,2.674556213017752,True,2
Gareth Rhodes,garethtrhodes,,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,-6.079999900000001,17.85,No,,No,No,No,No,No,No,,No,No,,,,,No,,Yes,,No,,213.0,217.0,1003.0,3.10258199581298,True,1
Jeff Beals,JeffBealsNY19,,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,-6.079999900000001,13.18,No,,No,No,No,No,No,No,,No,No,,,,,Yes,,No,,No,,66.0,64.0,186.0,2.759493670886076,True,1
Pat Ryan,PatRyanWrites,,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,-6.079999900000001,17.719998999999998,No,,Yes,No,No,No,No,No,,No,No,,,,,No,,Yes,,Yes,,16.0,11.0,64.0,3.0549450549450547,True,2
DuWayne Gregory,DuWayneGregory,GregoryForNY2,NY,U.S. House New York District 2,Representative,Regular,6/26/18,Lost,None,None,-8.2600002,41.639998999999996,No,Nonwhite,Yes,No,Yes,No,No,No,,No,Yes,,,,No,,,No,Yes,Yes,,116.0,96.0,158.0,2.227027027027027,True,3
Liuba Grechen Shirley,liuba4congress,,NY,U.S. House New York District 2,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-8.2600002,57.98,Yes,,No,No,No,No,No,No,,Yes,Yes,,,,Yes,,,Yes,No,No,,411.0,320.0,1431.0,2.9435707678075858,True,4
Dylan Ratigan,DylanRatigan,,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,None,-11.43,11.91,No,,No,No,No,No,No,No,,,No,,,,No,No,,No,No,,,111.0,79.0,284.0,2.729957805907173,True,0
Emily Martz,FlipNY45,,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,None,-11.43,10.37,No,,No,No,No,No,No,No,,,No,,,,No,No,,No,No,,,83.0,79.0,406.0,3.1373239436619715,True,0
Katie Wilson,AdirondacKatie,,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,None,-11.43,11.68,No,,No,No,No,No,No,No,,,No,,,,No,No,,No,Yes,,,102.0,92.0,268.0,2.7186147186147185,True,1
Patrick Nelson,PatFNelson,,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,None,-11.43,9.119999900000002,No,White,No,No,No,No,Yes,No,,,Yes,,,,Yes,Yes,,No,No,,,169.0,156.0,292.0,2.3987034035656403,True,3
Tedra Cobb,TedraCobb,,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-11.43,56.009997999999996,Yes,,No,No,Yes,No,No,No,,,Yes,,,,Yes,No,,Yes,No,,,120.0,92.0,509.0,3.0790568654646324,True,3
Eddie Sundquist,esundquist,,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,None,-13.93,6.420000099999999,No,,No,Yes,No,No,Yes,No,,,No,,,,No,No,,,No,,,88.0,80.0,217.0,2.67012987012987,True,0
Ian Golden,GoldenForNY23,,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,None,-13.93,13.44,No,,No,No,No,No,No,No,,,No,,,,Yes,Yes,,,No,,,43.0,22.0,129.0,2.88659793814433,True,2
Linda Andrei,Linda4Congress,,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,None,-13.93,15.33,No,,No,No,No,No,Yes,No,,,No,,,,No,No,,,No,,,36.0,15.0,79.0,2.6615384615384614,True,0
Max Della Pia,DellaPiaForNY23,,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,None,-13.93,32.400002,No,,Yes,No,No,No,No,No,,,No,,,,No,No,,,No,,,57.0,28.0,119.0,2.607843137254902,True,0
Tracy Mitrano,MitranoForNY23,,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-13.93,32.299999,Yes,,No,No,No,No,No,No,,,Yes,,,,No,No,,,Yes,,,150.0,100.0,505.0,2.9403973509933774,True,2
Dana Balter,dana_balter,,NY,U.S. House New York District 24,Representative,Regular,6/26/18,Advanced,None,On the Ballot,4.139999899999999,62.380001,Yes,,No,No,No,No,No,No,No,No,Yes,,,,Yes,No,Yes,Yes,Yes,No,,204.0,110.0,436.0,2.6186666666666665,True,5
Juanita Perez Williams,VoteForJuanita,,NY,U.S. House New York District 24,Representative,Regular,6/26/18,Lost,None,None,4.139999899999999,37.23,No,Nonwhite,Yes,No,No,No,No,No,Yes,Yes,Yes,,,,No,No,No,No,No,Yes,,18.0,7.0,38.0,2.6349206349206344,True,4
Adam McFadden,run_amc,,NY,U.S. House New York District 25,Representative,Regular,6/26/18,Lost,None,None,14.62,17.450001,No,Nonwhite,No,No,Yes,No,No,No,,,No,,,,No,,,,No,,,0.0,3.0,5.0,3.25,True,0
Joseph Morelle,RepJoeMorelle,votemorelle,NY,U.S. House New York District 25,Representative,Regular,6/26/18,Advanced,None,On the Ballot,14.62,45.290001000000004,Yes,,No,No,Yes,No,No,No,,,Yes,,,,No,,,,Yes,,,0.0,0.0,0.0,,True,2
Rachel Barnhart,rachbarnhart,,NY,U.S. House New York District 25,Representative,Regular,6/26/18,Lost,None,None,14.62,19.77,No,,No,No,No,No,No,No,,,Yes,,,,No,,,,No,,,3256.0,1693.0,2055.0,1.6570531125071388,True,1
Robin Wilt,WiltForAssembly,rrwilt,NY,U.S. House New York District 25,Representative,Regular,6/26/18,Lost,None,None,14.62,17.35,No,Nonwhite,No,No,Yes,No,No,No,,,Yes,,,,Yes,,,,No,,,57.0,41.0,152.0,2.76,True,2
Dennis J. Kucinich,Dennis_Kucinich,,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,None,-7.889999900000001,22.98,No,White,No,No,Yes,No,No,No,,,No,,No,,Yes,,,,,,,165.0,149.0,502.0,2.8259803921568634,True,1
Joseph Schiavoni,JoeSchiavoni,,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,None,-7.889999900000001,9.1700001,No,,No,No,Yes,No,No,No,,,Yes,,No,,No,,,,,,,221.0,188.0,974.0,3.0889370932754883,True,1
Larry Ealy,LarryEEaly2,,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,None,-7.889999900000001,1.02,No,Nonwhite,No,No,No,No,No,No,,,No,,No,,No,,,,,,,0.0,1.0,3.0,3.5,True,0
Paul Ray,,,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,None,-7.889999900000001,1.38,No,,No,No,No,No,No,No,,,No,,No,,No,,,,,,,,,,,False,0
Richard Cordray,RichCordray,,OH,Governor of Ohio,Governor,Regular,5/8/18,Advanced,None,On the Ballot,-7.889999900000001,62.16,Yes,White,No,No,Yes,No,No,Yes,,,Yes,,Yes,,No,,,,,,,582.0,364.0,967.0,2.4025091479351803,True,2
William O'Neill,billoneilloh,,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,None,-7.889999900000001,3.29,No,White,Yes,No,Yes,No,No,No,,,No,,No,,No,,,,,,,59.0,60.0,137.0,2.609375,True,0
Michael Milisits,MikeMilisits,,OH,U.S. House Ohio District 10,Representative,Regular,5/8/18,Lost,None,None,-8.4799995,7.400000099999999,No,,No,No,No,No,No,No,,,,,,,,,,,,,,33.0,33.0,36.0,2.0588235294117645,True,0
Robert Klepinger,,,OH,U.S. House Ohio District 10,Representative,Regular,5/8/18,Lost,None,None,-8.4799995,25.6,No,,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,False,0
Theresa Gasper,theresa_gasper,GasperforOH10,OH,U.S. House Ohio District 10,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-8.4799995,67.019997,Yes,,No,No,No,No,No,No,,,,,,,,,,,,,,0.0,0.0,0.0,,True,0
Danny O'Connor,dannyoconnor1,,OH,U.S. House Ohio District 12,Representative,Special,5/8/18,Advanced,None,On the Ballot,-13.63,40.939999,Yes,,No,No,Yes,No,No,No,,,Yes,,,,,No,,Yes,,,,85.0,106.0,748.0,3.412140575079872,True,2
Danny O'Connor,dannyoconnor1,,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-13.63,40.52,Yes,,No,No,Yes,No,No,No,,,Yes,,,,,No,,Yes,,,,85.0,106.0,748.0,3.412140575079872,True,2
Doug Wilson,DougWilsonOH12,,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,Lost,None,None,-13.63,3.74,No,,No,No,Yes,No,No,No,,,No,,,,,No,,No,,,,90.0,105.0,127.0,2.229813664596273,True,0
Doug Wilson,DougWilsonOH12,,OH,U.S. House Ohio District 12,Representative,Special,5/8/18,Lost,None,None,-13.63,3.9400001000000002,No,,No,No,Yes,No,No,No,,,No,,,,,No,,No,,,,90.0,105.0,127.0,2.229813664596273,True,0
Ed Albertson,,,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,Lost,None,None,-13.63,7.860000099999999,No,,Yes,No,No,No,No,No,,,No,,,,,No,,No,,,,,,,,False,0
Ed Albertson,,,OH,U.S. House Ohio District 12,Representative,Special,5/8/18,Lost,None,None,-13.63,8.0799999,No,,Yes,No,No,No,No,No,,,No,,,,,No,,No,,,,,,,,False,0
Jackie Patton,PattonJackieB,,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,Lost,None,None,-13.63,14.02,No,,No,No,No,No,No,No,,,Yes,,,,,No,,No,,,,24.0,36.0,168.0,3.263157894736842,True,1
Jackie Patton,PattonJackieB,,OH,U.S. House Ohio District 12,Representative,Special,5/8/18,Lost,None,None,-13.63,13.58,No,,No,No,No,No,No,No,,,Yes,,,,,No,,No,,,,24.0,36.0,168.0,3.263157894736842,True,1
John Peters,JPJohnPeters_4,,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,Lost,None,None,-13.63,1.49,No,,No,No,No,No,No,No,,,No,,,,,No,,No,,,,16.0,14.0,39.0,2.6666666666666665,True,0
John Russell,heyjohnrussell,JCruss,OH,U.S. House Ohio District 12,Representative,Special,5/8/18,Lost,None,None,-13.63,16.700001,No,,No,No,No,No,No,No,,,Yes,,,,,Yes,,No,,,,142.0,179.0,450.0,2.7989623865110245,True,2
Zach Scott,ZachScottOhio,,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,Lost,None,None,-13.63,16.1,No,,No,No,Yes,No,No,No,,,No,,,,,No,,No,,,,7.0,0.0,42.0,3.4285714285714284,True,0
Zach Scott,ZachScottOhio,,OH,U.S. House Ohio District 12,Representative,Special,5/8/18,Lost,None,None,-13.63,16.76,No,,No,No,Yes,No,No,No,,,No,,,,,No,,No,,,,7.0,0.0,42.0,3.4285714285714284,True,0
Rick Neal,Rick_Neal,,OH,U.S. House Ohio District 15,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-15.48,63.540001000000004,Yes,,No,Yes,No,No,No,No,,,Yes,,,,,,,,,,,144.0,109.0,420.0,2.8202080237741463,True,1
Rob Jarvis,robjarvis4ohio,,OH,U.S. House Ohio District 15,Representative,Regular,5/8/18,Lost,None,None,-15.48,36.459998999999996,No,,No,No,No,No,No,No,,,No,,,,,,,,,,,199.0,194.0,241.0,2.132492113564669,True,0
Aaron Godfrey,godfreap,GodfreyForOH16,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Lost,None,None,-17.030001000000002,7.9099998,No,,No,No,No,No,Yes,No,,,Yes,,,,Yes,,,,,,,0.0,0.0,0.0,,True,2
Grant Goodrich,GGGoodrich,,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Lost,None,None,-17.030001000000002,28.059998999999998,No,,Yes,No,No,No,No,No,,,Yes,,,,No,,,,,,,17.0,23.0,87.0,3.1023622047244093,True,1
John Wilson,,,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Lost,None,None,-17.030001000000002,4.48,No,,No,No,No,No,No,No,,,No,,,,No,,,,,,,,,,,False,0
Mark Dent,MDent4Congress,,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Lost,None,None,-17.030001000000002,9.380000099999998,No,,Yes,No,No,No,No,No,,,No,,,,No,,,,,,,59.0,41.0,96.0,2.377551020408163,True,0
Susan Moran Palmer,SusanPalmerOH,,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-17.030001000000002,34.630001,Yes,,No,No,No,No,No,No,,,Yes,,,,No,,,,,,,72.0,48.0,203.0,2.8111455108359134,True,1
TJ Mulloy,TJMulloyOH,,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Lost,None,None,-17.030001000000002,15.54,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,,,14.0,18.0,28.0,2.466666666666667,True,0
Janet Everhard,VoteEverhard,,OH,U.S. House Ohio District 2,Representative,Regular,5/8/18,Lost,None,None,-17.360001,34.400002,No,,No,No,No,No,No,No,,,Yes,,,,,,,,,,,0.0,3.0,15.0,3.6666666666666665,True,1
Jill Schiller,Vote4Schiller,jillschill,OH,U.S. House Ohio District 2,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-17.360001,54.200001,Yes,,No,No,No,No,No,Yes,,,Yes,,,,,,,,,,,62.0,44.0,120.0,2.5132743362831858,True,1
William Smith,,,OH,U.S. House Ohio District 2,Representative,Regular,5/8/18,Lost,None,None,-17.360001,11.4,No,,No,No,No,No,No,No,,,No,,,,,,,,,,,,,,,False,0
Cody James Slatzer-Rose,,,OH,U.S. House Ohio District 4,Representative,Regular,5/8/18,Lost,None,None,-31.23,16.15,No,,No,No,No,No,Yes,No,,,No,,,,,,,,,,,,,,,False,0
Janet Garrett,Janet4OH,,OH,U.S. House Ohio District 4,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-31.23,83.849998,Yes,,No,No,No,No,No,No,,,Yes,,,,,,,,,,,195.0,186.0,456.0,2.6236559139784945,True,1
James Neu Jr.,Neu4Congress,,OH,U.S. House Ohio District 5,Representative,Regular,5/8/18,Lost,None,None,-23.809998999999998,26.700001,No,,No,No,No,No,No,No,,,Yes,,,,,,,,,,,46.0,66.0,149.0,2.789272030651341,True,1
John Michael Galbraith,OH5forGalbraith,,OH,U.S. House Ohio District 5,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-23.809998999999998,73.199997,Yes,,No,No,No,No,No,No,,,No,,,,,,,,,,,373.0,260.0,531.0,2.2714776632302405,True,0
Shawna Roberts,RobertsOhioD6,,OH,U.S. House Ohio District 6,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-37.610001000000004,74.5,Yes,,No,No,No,No,No,No,,,,,,,,,,Yes,,,,301.0,280.0,689.0,2.6110236220472443,True,1
Werner Lange,lange4congress,,OH,U.S. House Ohio District 6,Representative,Regular,5/8/18,Lost,None,None,-37.610001000000004,25.5,No,,No,No,No,No,No,No,,,,,,,,,,No,,,,28.0,19.0,23.0,1.8571428571428568,True,0
Ken Harbaugh,Team_Harbaugh,,OH,U.S. House Ohio District 7,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-27.18,80.199997,Yes,,Yes,No,No,No,No,No,Yes,,No,,,,,,,,,Yes,,39.0,37.0,351.0,3.46135831381733,True,2
Patrick Pikus,,,OH,U.S. House Ohio District 7,Representative,Regular,5/8/18,Lost,None,None,-27.18,19.799999,No,,No,No,No,No,No,No,No,,No,,,,,,,,,No,,,,,,False,0
Bill Ebben,bill_ebben,,OH,U.S. House Ohio District 8,Representative,Regular,5/8/18,Lost,None,None,-34.779999,12.18,No,,Yes,No,No,No,No,No,,,No,,,,,,,,,,,27.0,13.0,16.0,1.6071428571428572,True,0
Matthew Guyette,,,OH,U.S. House Ohio District 8,Representative,Regular,5/8/18,Lost,None,None,-34.779999,13.63,No,,No,Yes,No,No,No,No,,,No,,,,,,,,,,,,,,,False,0
Ted Jones,TJones4Congress,,OH,U.S. House Ohio District 8,Representative,Regular,5/8/18,Lost,None,None,-34.779999,16.280001000000002,No,,No,No,No,No,No,No,,,No,,,,,,,,,,,37.0,34.0,36.0,1.9813084112149533,True,0
Vanessa Enoch,DrVEnoch,,OH,U.S. House Ohio District 8,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-34.779999,57.91,Yes,Nonwhite,No,No,No,No,No,No,,,Yes,,,,,,,,,,,195.0,153.0,495.0,2.711743772241993,True,1
Constance Johnson,ConstanceForOH,,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Lost,None,None,-38.209998999999996,38.619999,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,Yes,,,,,,,101.0,91.0,277.0,2.7505330490405115,True,1
Drew Edmondson,DrewForOklahoma,,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Advanced,None,On the Ballot,-38.209998999999996,61.380001,Yes,White,Yes,No,Yes,No,No,No,,,,,,,No,,,,,,,117.0,155.0,583.0,3.090058479532164,True,0
Amanda Douglas,Amanda4Congress,,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Advanced,On the Ballot,,-31.959999,32.41,,,No,No,No,No,No,No,,,Yes,,,,,,,,,,,30.0,32.0,96.0,2.835443037974684,True,1
David Matthew Hullum,,,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Lost,None,,-31.959999,5.02,,,No,No,No,No,No,No,,,No,,,,,,,,,,,,,,,False,0
Gwendolyn Fields,Cd1Gwen,,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Lost,None,,-31.959999,19.620001000000002,,,No,No,No,No,No,No,,,No,,,,,,,,,,,0.0,0.0,1.0,4.0,True,0
Mark Keeter,Keeter4Congress,,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Lost,None,,-31.959999,8.46,,,No,No,No,No,No,No,,,No,,,,,,,,,,,8.0,8.0,3.0,1.4736842105263157,True,0
Tim Gilpin,Gilpin4Congress,,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Advanced,On the Ballot,,-31.959999,34.48,,,No,No,No,No,No,No,,,No,,,,,,,,,,,7.0,6.0,147.0,3.75,True,0
Clay Padgett,Claypadgett2,,OK,U.S. House Oklahoma District 2,Representative,Regular,6/26/18,Advanced,On the Ballot,,-49.009997999999996,24.23,,,Yes,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,7.0,3.333333333333333,True,0
Elijah McIntosh,EliForCongress,,OK,U.S. House Oklahoma District 2,Representative,Regular,6/26/18,Lost,None,,-49.009997999999996,19.02,,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,17.0,14.0,51.0,2.8292682926829267,True,0
Jason Nichols,jmnichols75,jn4ush,OK,U.S. House Oklahoma District 2,Representative,Regular,6/26/18,Advanced,On the Ballot,,-49.009997999999996,37.880001,,Nonwhite,No,No,Yes,No,Yes,No,,,,,,,,,,,,,,0.0,0.0,3.0,4.0,True,0
Virginia Jenner,,,OK,U.S. House Oklahoma District 2,Representative,Regular,6/26/18,Lost,None,,-49.009997999999996,18.860001,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,False,0
Frankie Robbins,RobbinsforOK,,OK,U.S. House Oklahoma District 3,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-54.009997999999996,64.839996,Yes,,No,No,No,No,Yes,No,,,,,,,,,,,,,,0.0,0.0,0.0,,True,0
Murray Thibodeaux,murray4congress,MurrayThibodeau,OK,U.S. House Oklahoma District 3,Representative,Regular,6/26/18,Lost,None,None,-54.009997999999996,35.16,No,,No,No,No,No,Yes,No,,,,,,,,,,,,,,0.0,0.0,4.0,4.0,True,0
Fred Gipson,gipson4congress,,OK,U.S. House Oklahoma District 4,Representative,Regular,6/26/18,Advanced,On the Ballot,,-39.130001,30.360001,,,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,13.0,5.0,32.0,2.76,True,0
Mallory Varner,,,OK,U.S. House Oklahoma District 4,Representative,Regular,6/26/18,Lost,None,,-39.130001,18.610001,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,False,0
Mary Brannon,ElectBrannon,,OK,U.S. House Oklahoma District 4,Representative,Regular,6/26/18,Advanced,On the Ballot,,-39.130001,34.360001000000004,,,No,No,No,No,No,No,,,,,,,,,,,,,,44.0,30.0,32.0,1.7735849056603774,True,0
Roxann Klutts,,,OK,U.S. House Oklahoma District 4,Representative,Regular,6/26/18,Lost,None,,-39.130001,16.67,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,False,0
Eddie Porter,eddiep00,,OK,U.S. House Oklahoma District 5,Representative,Regular,6/26/18,Lost,None,,-17.18,10.63,,,No,No,No,No,No,No,,,,,,,,,,,,,,4.0,3.0,16.0,3.0434782608695654,True,0
Elysabeth Britt,ElysabethBritt,,OK,U.S. House Oklahoma District 5,Representative,Regular,6/26/18,Lost,None,,-17.18,13.51,,,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,61.0,47.0,203.0,2.913183279742765,True,0
Kendra Horn,RepKendraHorn,HornForCongress,OK,U.S. House Oklahoma District 5,Representative,Regular,6/26/18,Advanced,On the Ballot,,-17.18,43.84,,,No,No,No,No,No,No,,,,,,,,,,,,,,0.0,0.0,0.0,,True,0
Leona Kelley-Leonard,Leona_CD5OK,,OK,U.S. House Oklahoma District 5,Representative,Regular,6/26/18,Lost,None,,-17.18,8.4200001,,,No,No,No,No,No,No,,,,,,,,,,,,,,0.0,0.0,0.0,,True,0
Tom Guild,guild4congress,,OK,U.S. House Oklahoma District 5,Representative,Regular,6/26/18,Advanced,On the Ballot,,-17.18,17.91,,,No,No,No,No,No,No,,,,,,,,,,,,,,388.0,283.0,771.0,2.53120665742025,True,0
Tyson Todd Meade,,,OK,U.S. House Oklahoma District 5,Representative,Regular,6/26/18,Lost,None,,-17.18,5.6900001,,,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,False,0
