candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,count_negative,count_neutral,count_positive,sentiment,gun_control_tweet_count,health_care_tweet_count,abortion_tweet_count,immigration_tweet_count,education_tweet_count,jobs_tweet_count,environment_tweet_count,women_tweet_count,lgbt_tweet_count,freedom_tweet_count,trump_tweet_count,num_tweets
Rick Daugherty,Daugherty2016,,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/18,Lost,None,None,0.07,3.8599998999999996,No,White,No,No,No,No,No,No,,,,,,,,,,,,,No,2.0,0.0,13.0,3.466666666666667,0,0,0,0,0,0,0,0,0,0,1,15
Roger Ruggles,rugglesforPA7,,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/18,Lost,None,None,0.07,5.4099998,No,White,Yes,No,No,No,Yes,No,,,,,,,,,,,,,No,26.0,16.0,31.0,2.136986301369863,1,10,0,0,6,4,0,0,0,0,5,73
Susan Wild,wildforcongress,RepSusanWild,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/18,Advanced,None,On the Ballot,0.07,33.450001,Yes,White,No,No,No,No,No,No,,Yes,,,,,,,,,,,No,76.0,66.0,345.0,3.1047227926078027,5,42,3,5,18,24,7,4,5,3,13,487
Denny Wolff,DennyforPA,,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/18,Advanced,None,On the Ballot,-32.029999,40.549999,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Gary Wegman,DrGaryWegman,GWforCongress,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/18,Lost,None,None,-32.029999,31.290001,No,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,13.0,8.0,35.0,2.7857142857142856,0,4,0,0,3,1,0,0,0,0,0,56
Laura Quick,electlauraquick,,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/18,Lost,None,None,-32.029999,28.16,No,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,130.0,137.0,243.0,2.443137254901961,14,98,2,3,58,63,3,1,1,6,76,510
James Smith Jr.,JamesSmithSC,JamesSmithforSC,SC,Governor of South Carolina,Governor,Regular,6/12/18,Advanced,None,On the Ballot,-15.85,61.810001,Yes,White,Yes,No,No,No,No,No,,,Yes,,,,,Yes,,,,Yes,,35.0,36.0,482.0,3.6166365280289328,22,54,9,0,50,61,26,4,2,9,5,1483
Marguerite Willis,WillisGov,Marg_Willis,SC,Governor of South Carolina,Governor,Regular,6/12/18,Lost,None,None,-15.85,27.549999,No,White,No,No,No,Yes,No,No,,,,,,,,,,,,,,68.0,48.0,92.0,2.230769230769231,16,12,0,2,17,8,7,4,0,1,57,1140
Phil Noble,Charleston,,SC,Governor of South Carolina,Governor,Regular,6/12/18,Lost,None,None,-15.85,10.64,No,White,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Joe Cunningham,JoeCunninghamSC,,SC,U.S. House South Carolina District 1,Representative,Regular,6/12/18,Advanced,None,On the Ballot,-16.879998999999998,71.5,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,129.0,109.0,499.0,3.004070556309362,10,8,0,4,3,8,7,3,0,4,37,737
Toby Smith,TobySensus,,SC,U.S. House South Carolina District 1,Representative,Regular,6/12/18,Lost,None,None,-16.879998999999998,28.5,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Annabelle Robertson,Annabelle4SC,,SC,U.S. House South Carolina District 2,Representative,Regular,6/12/18,Advanced,Lost,None,-20.73,41.810001,No,White,No,No,No,No,No,No,,,Yes,,,,Yes,,,,,,,451.0,335.0,759.0,2.398705501618123,21,33,9,6,6,21,1,3,2,4,112,1545
Phil Black,,,SC,U.S. House South Carolina District 2,Representative,Regular,6/12/18,Lost,None,None,-20.73,18.370001000000002,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1545
Sean Carrigan,VoteCarrigan,,SC,U.S. House South Carolina District 2,Representative,Regular,6/12/18,Advanced,Advanced,On the Ballot,-20.73,39.82,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,229.0,141.0,412.0,2.468030690537085,21,22,10,14,27,31,9,4,11,10,64,782
Hosea Cleveland,ClevelandHosea,,SC,U.S. House South Carolina District 3,Representative,Regular,6/12/18,Lost,None,None,-38.68,30.27,No,Nonwhite,Yes,No,No,No,Yes,No,,,,,,,,,,,,,,78.0,76.0,150.0,2.473684210526316,11,6,3,2,8,5,4,4,2,3,38,304
Mary Geren,MaryGeren,,SC,U.S. House South Carolina District 3,Representative,Regular,6/12/18,Advanced,None,On the Ballot,-38.68,69.730003,Yes,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,,111.0,78.0,352.0,2.8909426987061,25,43,0,6,39,26,7,3,1,6,18,541
Brandon Brown,brown_congress,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Advanced,Advanced,On the Ballot,-28.309998999999998,28.469998999999998,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Doris Lee Turner,VoteLeeTurner,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Advanced,Lost,None,-28.309998999999998,29.459999,No,White,No,No,No,No,No,No,,,,,,,Yes,,,,Yes,,,230.0,338.0,758.0,2.7963800904977374,47,29,8,11,9,21,2,3,5,8,200,1326
Eric Graben,,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,-28.309998999999998,25.719998999999998,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1326
J.T. Davis,JTDforCongress,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,-28.309998999999998,7.219999799999999,No,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,28.0,54.0,121.0,2.9162561576354684,23,10,0,5,2,4,1,0,0,0,28,203
Will Morin III,wmorin,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,-28.309998999999998,9.130000099999998,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,291.0,218.0,454.0,2.33852544132918,39,40,0,9,9,35,44,10,5,6,152,963
Archie Parnell,archie4congress,,SC,U.S. House South Carolina District 5,Representative,Regular,6/12/18,Advanced,None,On the Ballot,-19.280001000000002,59.959998999999996,Yes,White,No,No,No,No,No,No,No,,Yes,,,,,,,,,,,95.0,84.0,265.0,2.765765765765766,12,16,0,1,9,17,5,1,0,4,37,444
Mark Ali,CongressAli,,SC,U.S. House South Carolina District 5,Representative,Regular,6/12/18,Lost,None,None,-19.280001000000002,13.41,No,Nonwhite,No,No,No,No,No,No,,,No,,,,,,,,,,,30.0,22.0,51.0,2.4077669902912615,8,11,0,6,1,0,0,0,0,2,1,103
Sidney Moore,,,SC,U.S. House South Carolina District 5,Representative,Regular,6/12/18,Lost,None,None,-19.280001000000002,17.17,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,103
Steve Lough,Clown4Congress,,SC,U.S. House South Carolina District 5,Representative,Regular,6/12/18,Lost,None,None,-19.280001000000002,9.46,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,67.0,66.0,215.0,2.8505747126436782,17,38,2,2,3,28,0,0,0,0,7,348
Bill Hopkins,BillHopkinsSC,,SC,U.S. House South Carolina District 7,Representative,Regular,6/12/18,Lost,None,None,-19.23,17.780001000000002,No,White,No,No,No,No,No,No,,,Yes,,,,No,,,,,,,5.0,7.0,30.0,3.1904761904761907,2,1,0,0,0,1,0,0,0,0,0,42
Bruce Fischer,DrBruceFischer,,SC,U.S. House South Carolina District 7,Representative,Regular,6/12/18,Lost,None,None,-19.23,11.22,No,White,Yes,No,No,No,Yes,No,,,No,,,,No,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Mal Hyman,Mal4Congress,,SC,U.S. House South Carolina District 7,Representative,Regular,6/12/18,Advanced,Lost,None,-19.23,29.700001,No,White,No,No,No,No,No,No,,,Yes,,,,Yes,,,,,,,404.0,213.0,536.0,2.2289679098005197,43,54,1,17,16,43,32,5,2,6,63,1153
Robert Williams,RepRQWilliams,RobertQWilliam1,SC,U.S. House South Carolina District 7,Representative,Regular,6/12/18,Advanced,Advanced,On the Ballot,-19.23,41.299999,Yes,Nonwhite,Yes,No,Yes,No,No,No,,,No,,,,No,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,1,1,0,1,0,0,235
Billie Sutton,billiehsutton,,SD,Governor of South Dakota,Governor,Regular,6/5/18,Advanced,None,On the Ballot,-29.379998999999998,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,43.0,39.0,202.0,3.119718309859155,1,4,0,1,21,6,0,0,0,1,1,284
Timothy Bjorkman,TimBjorkmanSD,,SD,U.S. House South Dakota At-large District,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-29.379998999999998,100.0,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,55.0,71.0,412.0,3.3271375464684017,5,28,0,2,5,4,1,1,0,8,7,538
Craig Fitzhugh,craigfitzhugh,,TN,Governor of Tennessee,Governor,Regular,8/2/18,Lost,None,None,-27.139999,19.42,No,White,Yes,No,Yes,Yes,No,No,,,,,,,Yes,,,Yes,,,,64.0,63.0,426.0,3.309222423146474,4,45,0,0,25,10,1,0,0,1,1,553
Karl Dean,KarlFDean,,TN,Governor of Tennessee,Governor,Regular,8/2/18,Advanced,None,On the Ballot,-27.139999,75.139999,Yes,White,No,No,Yes,Yes,No,No,,,,,,,No,,,No,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Mezianne Vale Payne,MeziannePayne,,TN,Governor of Tennessee,Governor,Regular,8/2/18,Lost,None,None,-27.139999,5.4400001,No,White,No,No,No,No,No,No,,,,,,,No,,,No,,,,207.0,131.0,185.0,1.9158699808795407,8,18,4,12,3,8,0,3,4,5,38,523
Martin Olsen,,,TN,U.S. House Tennessee District 1,Representative,Regular,8/2/18,Advanced,None,On the Ballot,-57.029999,100.0,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,523
Joseph Schenkenfelder,,,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,-38.18,4.5100002,No,,,,,No,,No,,,No,,,,No,,,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,523
Joshua Williams,Joshua4Congress,,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,-38.18,23.08,No,White,No,No,No,No,Yes,No,,,Yes,,,,No,,,No,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Renee Hoyos,Hoyos4Congress,,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Advanced,None,On the Ballot,-38.18,72.410004,Yes,White,No,No,No,No,No,No,,,Yes,,,,Yes,,,Yes,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Danielle Mitchell,DMMD4TNCongress ,,TN,U.S. House Tennessee District 3,Representative,Regular,8/2/18,Advanced,None,On the Ballot,-35.98,100.0,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,Yes,,,,100.0,117.0,514.0,3.1326949384404923,0,0,0,0,0,0,0,0,0,0,0,0
Christopher Hale,chrisjollyhale,,TN,U.S. House Tennessee District 4,Representative,Regular,8/2/18,Lost,None,None,-41.48,34.720001,No,White,No,No,No,No,No,Yes,,,,,,,,,,No,,,,1034.0,993.0,1476.0,2.252355124179275,29,34,74,41,21,29,5,10,15,12,224,3503
Mariah Phillips,Mariah4Congress,MariahNPhillips,TN,U.S. House Tennessee District 4,Representative,Regular,8/2/18,Advanced,None,On the Ballot,-41.48,47.509997999999996,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,,204.0,172.0,700.0,2.9219330855018586,21,52,2,4,17,36,1,2,1,5,9,1093
Steven Reynolds,Reynolds4Rep,,TN,U.S. House Tennessee District 4,Representative,Regular,8/2/18,Lost,None,None,-41.48,17.77,No,White,No,No,No,No,No,No,,,,,,,,,,No,,,,95.0,76.0,178.0,2.475644699140401,16,25,1,4,8,13,11,0,0,1,2,349
Christopher Finley,,,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,None,None,-49.110001000000004,15.06,No,,,,,No,,No,,,No,,,,,,,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,349
Dawn Barlow,Barlow4Congress,,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Advanced,None,On the Ballot,-49.110001000000004,54.509997999999996,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,,,,No,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Merrilee Wineinger,MerrileeMW,MerrileeforTN,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,None,None,-49.110001000000004,22.059998999999998,No,White,No,No,No,No,No,No,,,No,,,,,,,Yes,,,,0.0,0.0,0.0,,32,46,2,16,9,12,2,0,7,2,33,404
Peter Heffernan,,,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,None,None,-49.110001000000004,8.369999900000002,No,,,,,No,,No,,,No,,,,,,,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,404
Justin Kanew,Kanew,,TN,U.S. House Tennessee District 7,Representative,Regular,8/2/18,Advanced,None,On the Ballot,-40.209998999999996,62.110001000000004,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,,1181.0,880.0,2064.0,2.4281212121212117,84,219,1,27,15,88,19,0,8,7,52,4125
Matt Reel,,,TN,U.S. House Tennessee District 7,Representative,Regular,8/2/18,Lost,None,None,-40.209998999999996,37.889998999999996,No,White,Yes,No,No,No,No,No,,,No,,,,,,,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,4125
Erika Stotts Pearson,erika_stotts,,TN,U.S. House Tennessee District 8,Representative,Regular,8/2/18,Advanced,None,On the Ballot,-37.560001,50.419998,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,No,,,,0.0,0.0,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,1
John Boatner Jr.,VoteBoatner,,TN,U.S. House Tennessee District 8,Representative,Regular,8/2/18,Lost,None,None,-37.560001,49.580002,No,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,,15.0,17.0,63.0,3.0105263157894737,0,5,0,1,1,0,0,0,0,1,5,95
Gary Davis,garydav07670901,,TN,U.S. Senate Tennessee,Senator,Regular,8/2/18,Lost,None,None,-27.139999,5.2800002,No,,,,,No,,No,,,,No,,,,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
John Wolfe,JohnWolfeTN,,TN,U.S. Senate Tennessee,Senator,Regular,8/2/18,Lost,None,None,-27.139999,3.21,No,White,No,No,No,No,No,No,,,,No,,,,,,,,,,47.0,44.0,51.0,2.056338028169014,5,28,1,2,2,6,3,1,0,0,11,142
Phil Bredesen,PhilBredesen,,TN,U.S. Senate Tennessee,Senator,Regular,8/2/18,Advanced,None,On the Ballot,-27.139999,91.510002,Yes,White,No,No,Yes,Yes,No,No,,,,Yes,,,,,,,,,,265.0,205.0,815.0,2.8560311284046693,4,58,0,9,21,39,0,0,0,4,25,1285
Adrian Ocegueda,TxReason,,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,None,-13.23,4.4000001,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,11.0,23.0,32.0,2.636363636363636,1,0,0,0,2,1,0,0,0,0,0,66
Andrew White,randrewwhite,,TX,Governor of Texas,Governor,Regular,3/6/18,Advanced,Lost,None,-13.23,27.4,No,White,No,No,No,Yes,No,No,,,Yes,,,,,,,,,,,119.0,134.0,357.0,2.780327868852459,16,22,4,10,36,11,3,2,3,0,20,610
Cedric Davis,Cedric4Texas,,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,None,-13.23,8.2399998,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,,,,,1.0,13.0,8.0,2.636363636363636,0,0,0,0,0,0,0,0,0,0,1,22
Grady Yarbrough,,,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,None,-13.23,5.369999900000001,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,22
James Clark,,,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,None,-13.23,2.1500001,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,22
Jeffrey Payne,Jeffrey4Texas,,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,None,-13.23,4.75,No,White,No,Yes,No,No,No,No,,,,,,,,,,,,,,33.0,60.0,564.0,3.616438356164384,20,9,0,6,29,3,4,6,2,0,3,657
Joe Mumbach,realjoemumbach,,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,None,-13.23,1.36,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,4.0,3.0,10.0,2.7058823529411766,0,1,0,0,0,0,0,0,0,0,1,17
Lupe Valdez,LupeValdez,,TX,Governor of Texas,Governor,Regular,3/6/18,Advanced,Advanced,On the Ballot,-13.23,42.91,Yes,Nonwhite,Yes,Yes,Yes,No,No,No,,,No,,,,,,,,,,,174.0,133.0,578.0,2.912994350282486,35,53,4,14,33,23,4,3,21,7,23,885
Thomas Wakely,TexansforTom,,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,None,-13.23,3.4100001000000004,No,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Brent Beal,beal2018,,TX,U.S. House Texas District 1,Representative,Regular,3/6/18,Lost,None,None,-48.73,38.959998999999996,No,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,,33.0,29.0,74.0,2.6029411764705883,5,3,1,0,1,1,1,2,0,0,8,136
Shirley McKellar,MckellarShirley,Vote4McKellar,TX,U.S. House Texas District 1,Representative,Regular,3/6/18,Advanced,None,On the Ballot,-48.73,61.040001000000004,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,No,,,,,,,5.0,2.0,9.0,2.5,17,16,0,3,21,5,0,3,2,1,37,530
Kevin Nelson,NelsonForTexas,,TX,U.S. House Texas District 10,Representative,Regular,3/6/18,Lost,None,None,-14.43,4.1199999,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,409.0,236.0,408.0,1.9981006647673316,4,60,0,9,21,2,0,2,0,4,18,1053
Madeline Eden,edenfortexas,,TX,U.S. House Texas District 10,Representative,Regular,3/6/18,Lost,None,None,-14.43,14.27,No,White,No,Yes,No,No,Yes,No,,,,,,,,,,,,,,102.0,132.0,305.0,2.7532467532467533,7,48,1,11,3,6,0,3,39,7,75,539
Matt Harris,Matt4TX10,,TX,U.S. House Texas District 10,Representative,Regular,3/6/18,Lost,None,None,-14.43,7.320000200000001,No,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,10.0,9.0,20.0,2.5128205128205128,2,0,0,0,0,0,0,0,0,0,4,39
Mike Siegel,SiegelForTexas,,TX,U.S. House Texas District 10,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,-14.43,40.0,Yes,White,No,No,No,No,No,No,,,Yes,,,,Yes,,,,,,,183.0,134.0,345.0,2.489425981873112,23,46,3,30,9,27,1,1,1,3,28,662
Tami Walker,WalkerforTx10,,TX,U.S. House Texas District 10,Representative,Regular,3/6/18,Lost,None,None,-14.43,15.56,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,15.0,22.0,66.0,2.9902912621359223,6,3,0,1,1,2,0,0,0,0,6,103
Tawana Cadien,Cadien4Congress,,TX,U.S. House Texas District 10,Representative,Regular,3/6/18,Advanced,Lost,None,-14.43,17.959999,No,Nonwhite,No,No,No,No,No,No,,,Yes,,,,,,,,,,,65.0,23.0,94.0,2.318681318681319,15,8,0,0,0,0,0,1,0,2,0,182
Eric Pfalzgraf,EBPfalzgraf ,,TX,U.S. House Texas District 11,Representative,Regular,3/6/18,Lost,None,None,-61.459998999999996,17.09,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,11.0,14.0,55.0,3.1,0,1,0,0,1,4,0,0,1,0,0,80
Jennie Lou Leeder,JennieLouLeeder ,,TX,U.S. House Texas District 11,Representative,Regular,3/6/18,Advanced,None,On the Ballot,-61.459998999999996,82.910004,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,307.0,201.0,624.0,2.560070671378092,15,171,2,40,103,46,5,0,5,5,45,1132
Vanessa Adia,VanessaAdiaTX12,,TX,U.S. House Texas District 12,Representative,Regular,3/6/18,Advanced,None,On the Ballot,-33.959998999999996,100.0,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,Yes,,,,,,155.0,100.0,477.0,2.8797814207650267,0,0,0,0,0,0,0,0,0,0,0,0
Greg Sagan,gtsagan,,TX,U.S. House Texas District 13,Representative,Regular,3/6/18,Advanced,None,On the Ballot,-65.209999,100.0,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,10.0,9.0,27.0,2.739130434782609,0,0,0,0,0,0,0,0,0,0,0,0
Adrienne Bell,AdrBell,,TX,U.S. House Texas District 14,Representative,Regular,3/6/18,Advanced,None,On the Ballot,-22.33,79.83000200000001,Yes,Nonwhite,No,No,No,No,No,Yes,,,,,,,Yes,Yes,,,,,,301.0,253.0,1209.0,3.030062393647192,59,80,2,11,74,33,5,1,0,13,23,1763
Levy Barnes Jr.,DrlevyBarnes,,TX,U.S. House Texas District 14,Representative,Regular,3/6/18,Lost,None,None,-22.33,20.17,No,Nonwhite,No,No,No,No,No,No,,,,,,,No,No,,,,,,0.0,1.0,7.0,3.75,0,0,0,0,0,0,0,0,0,0,0,8
Dori Fenenbock,DoriFenenbock,votedori,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Lost,None,None,35.419998,21.969998999999998,No,White,No,No,No,Yes,No,No,,No,,,,,No,,No,,,,,2.0,5.0,23.0,3.4,0,0,0,2,0,0,0,0,0,0,0,30
Enrique Garcia,Enrique85304785,,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Lost,None,None,35.419998,5.329999900000001,No,Nonwhite,No,No,No,No,No,No,,No,,,,,No,,No,,,,,5.0,7.0,49.0,3.442622950819672,0,1,0,2,0,0,0,0,0,0,0,61
Jerome Tilghman,jerome_tilghman,,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Lost,None,None,35.419998,2.97,No,Nonwhite,Yes,No,No,No,No,No,,No,,,,,No,,No,,,,,479.0,460.0,613.0,2.1726804123711343,19,59,0,38,27,4,1,11,0,2,70,1552
John Carrillo,JohnJCarrillo10,,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Lost,None,None,35.419998,1.55,No,Nonwhite,No,No,No,No,No,No,,No,,,,,No,,No,,,,,45.0,41.0,89.0,2.5028571428571427,0,0,0,0,0,0,0,0,0,0,0,175
Norma Chavez,,,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Lost,None,None,35.419998,6.6599998,No,Nonwhite,No,No,Yes,No,No,No,,No,,,,,No,,No,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,175
Veronica Escobar,vgescobar,,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Advanced,None,On the Ballot,35.419998,61.529999,Yes,Nonwhite,No,No,Yes,No,No,No,,Yes,,,,,Yes,,Yes,,,,,242.0,117.0,556.0,2.686338797814208,12,13,1,147,5,7,11,8,0,2,105,915
Dale Mantey,ManteyDS,,TX,U.S. House Texas District 17,Representative,Regular,3/6/18,Lost,None,None,-21.33,36.599998,No,White,No,No,No,No,Yes,No,,,,,,,Yes,,,,,,,138.0,123.0,265.0,2.482889733840304,18,20,0,3,17,16,4,0,1,0,32,526
Rick Kennedy,RickKennedyTX17,,TX,U.S. House Texas District 17,Representative,Regular,3/6/18,Advanced,None,On the Ballot,-21.33,63.400002,Yes,White,No,No,No,No,No,No,,,,,,,No,,,,,,,153.0,148.0,372.0,2.650817236255572,31,56,0,18,19,25,1,0,0,5,23,673
Miguel Levario,miguellevario19,,TX,U.S. House Texas District 19,Representative,Regular,3/6/18,Advanced,None,On the Ballot,-51.43,100.0,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Ali Khorasani,akhoras,,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,-16.33,7.5,No,Nonwhite,No,Yes,No,No,Yes,No,,,,,,,Yes,No,,,,,,15.0,15.0,82.0,3.196428571428572,2,1,0,3,0,0,0,0,1,0,0,112
H. P. Parvizian,HPForCongress,,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,-16.33,7.9099998,No,Nonwhite,No,No,No,No,No,No,,,,,,,No,No,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Darnell Jones,DarnellTX02,,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,-16.33,22.08,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,No,Yes,,,,,,27.0,24.0,124.0,3.1085714285714285,6,4,1,0,3,2,0,0,0,1,3,175
Silky Malik,Silky4Congress,,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,-16.33,9.6999998,No,Nonwhite,No,No,No,No,No,No,,,,,,,No,No,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Todd Litton,toddlitton,,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Advanced,None,On the Ballot,-16.33,52.810001,Yes,White,No,No,No,No,No,No,,,,,,,No,No,,,,,,52.0,47.0,477.0,3.4756944444444446,29,14,0,3,10,7,4,3,4,5,8,576
Derrick Crowe,derrickcrowe,electcrowe,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,-15.51,23.049999,No,White,No,No,No,No,No,No,,,,,,,Yes,Yes,,,,No,,926.0,736.0,711.0,1.8187947745469868,54,152,11,97,7,83,235,19,7,16,554,4506
Elliott McFadden,McFaddenForTX21,,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,-15.51,17.02,No,White,No,No,No,No,No,No,,,,,,,No,No,,,,No,,29.0,24.0,114.0,3.0179640718562872,16,7,1,6,3,1,2,0,3,1,14,167
Joseph Kopser,JosephKopser,Kopser4Congress,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,-15.51,29.030001000000002,Yes,White,Yes,No,No,No,Yes,No,,,Yes,,,,No,No,,,,Yes,,59.0,85.0,693.0,3.514934289127837,109,88,2,53,77,65,85,2,2,7,40,2767
Mary Wilson,mstreetwilson,,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Advanced,Lost,None,-15.51,30.9,No,White,No,Yes,No,No,Yes,No,,,Yes,,,,No,Yes,,,,No,,177.0,119.0,265.0,2.313725490196078,7,1,4,5,7,1,1,12,3,2,20,561
