candidate,state,district,office_type,race_type,race_primary,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,guns_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,num_endorsements,num_non_endorsements
Mike Levin,3,43,1,0,7,Advanced,None,On the Ballot,1.42,34.400002,1,1,0,0,0,0,0,0,1,0,2,2,2,2,2,0,1,2,2,0,2,2,4
Paul Kerr,3,43,1,0,7,Lost,None,None,1.42,8.75,0,1,1,0,0,1,0,0,0,0,2,2,2,2,2,0,0,2,2,0,2,0,6
Sara Jacobs,3,43,1,0,7,Lost,None,None,1.42,31.09,0,1,0,0,0,1,0,1,0,1,2,2,2,2,2,0,0,2,2,0,2,2,4
Ammar Campa-Najjar,3,44,1,0,7,Advanced,None,On the Ballot,-19.48,48.360001000000004,1,0,0,0,0,0,0,1,2,2,2,2,2,2,2,1,1,1,2,2,2,4,0
Josh Butner,3,44,1,0,7,Lost,None,None,-19.48,35.509997999999996,0,1,1,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,2,1,2,1,4
Patrick Malloy,3,44,1,0,7,Lost,None,None,-19.48,16.129998999999998,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,2,2,2,0,4
Marge Doyle,3,45,1,0,7,Lost,None,,-17.33,59.610001000000004,2,1,0,1,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Rita Ramirez,3,45,1,0,7,Lost,None,,-17.33,27.67,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Ronald O'Donnell,3,45,1,0,7,Lost,None,,-17.33,12.71,2,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Cary Kennedy,4,3,0,0,5,Lost,None,None,2.49,24.719998999999998,0,1,0,0,1,0,0,0,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1
Donna Lynne,4,3,0,0,5,Lost,None,None,2.49,7.280000200000001,0,1,0,0,1,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,0,3
Jared Polis,4,3,0,0,5,Advanced,None,On the Ballot,2.49,44.43,1,1,0,1,1,1,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,0,3
Michael Johnston,4,3,0,0,5,Lost,None,None,2.49,23.57,0,1,0,0,1,0,0,1,2,0,0,2,2,2,2,2,2,2,2,2,2,1,2
Joe Neguse,4,46,1,0,5,Advanced,None,On the Ballot,18.040001,65.82,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Mark Williams,4,46,1,0,5,Lost,None,None,18.040001,34.18,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Arn Menconi,4,47,1,0,5,Lost,None,None,-13.03,8.220000299999999,0,1,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2
Diane Mitsch Bush,4,47,1,0,5,Advanced,None,On the Ballot,-13.03,64.099998,1,1,0,0,1,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1
Karl Hanlon,4,47,1,0,5,Lost,None,None,-13.03,27.68,0,1,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2
Chase Kohne,4,48,1,0,5,Lost,None,None,-24.68,35.32,0,1,1,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
