candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support,count_negative,count_neutral,count_positive,sentiment,gun_control_tweet_count,health_care_tweet_count,abortion_tweet_count,immigration_tweet_count,education_tweet_count,jobs_tweet_count,environment_tweet_count,women_tweet_count,lgbt_tweet_count,freedom_tweet_count,trump_tweet_count,num_tweets
Justin Fareed,JustinFareed,,CA,U.S. House California District 24,Representative,Regular,6/5/18,Advanced,None,On the Ballot,78.37,Yes,Yes,,,,Yes,,,,,,,,,,209.0,174.0,339.0,2.3601108033241003,2,8,1,37,14,53,9,2,0,15,4,722
Michael Erin Woody,MichaelWoodyCA,,CA,U.S. House California District 24,Representative,Regular,6/5/18,Lost,None,None,21.63,No,No,,,,No,,,,,,,,,,24.0,5.0,45.0,2.5675675675675675,0,0,1,2,0,0,0,1,0,0,0,74
Antonio Sabato Jr.,AntonioSabatoJr,,CA,U.S. House California District 26,Representative,Regular,6/5/18,Advanced,None,On the Ballot,53.04,Yes,,,,,,,,,,,,,,,265.0,267.0,1169.0,3.0629041740152854,9,6,2,62,2,22,1,3,0,20,224,1701
Jeffrey Burum,JeffreyBurum,,CA,U.S. House California District 26,Representative,Regular,6/5/18,Lost,None,None,46.96,No,,,,,,,,,,,Yes,,,,227.0,490.0,478.0,2.420083682008368,16,20,4,43,9,4,1,2,1,4,42,1195
Johnny Nalbandian,Johnny_Congress,,CA,U.S. House California District 28,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,157.0,204.0,654.0,2.9793103448275864,0,0,0,0,0,0,0,0,0,0,0,0
Benito Bernal,Benny4Congress,,CA,U.S. House California District 29,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Charlie Schaupp,CharlieSchaupp,,CA,U.S. House California District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,Yes,,,,,,,,,10.0,5.0,20.0,2.571428571428572,0,0,0,0,0,0,0,0,0,0,0,0
Mark Reed,MarkReed1776,,CA,U.S. House California District 30,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,59.0,56.0,113.0,2.473684210526316,0,0,0,0,0,0,0,0,0,0,0,0
Sean Flynn,SeanFlynnCA,,CA,U.S. House California District 31,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,Yes,,,,,,,,,,,,,,38.0,34.0,202.0,3.1970802919708032,0,0,0,0,0,0,0,0,0,0,0,0
Kenneth Wright,drwright4congr1,,CA,U.S. House California District 33,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Ron Bassilian,Ron4California,,CA,U.S. House California District 34,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,1902.0,1796.0,2013.0,2.0388723516021714,0,0,0,0,0,0,0,0,0,0,0,0
Christian Valiente,CLVALIENTE4,,CA,U.S. House California District 35,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,15.0,18.0,85.0,3.1864406779661016,0,0,0,0,0,0,0,0,0,0,0,0
Kimberlin Brown Pelzer,KimberlinBrown,,CA,U.S. House California District 36,Representative,Regular,6/5/18,Advanced,None,On the Ballot,51.61,Yes,Yes,,,,,,Yes,,,,,,,,46.0,23.0,274.0,3.3294460641399417,1,4,1,12,0,7,0,0,0,4,8,343
Stephan Wolkowicz,,,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,None,None,10.41,No,No,,,,,,No,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,343
Dan Ball,DanNewsManBall,,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,None,None,17.39,No,No,,,,,,No,,,,,,,,32.0,34.0,175.0,3.1867219917012446,0,1,1,1,0,1,0,0,1,1,8,241
Doug Hassett,1doughassett,,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,None,None,11.21,No,No,,,,,,No,,,,,,,,49.0,37.0,192.0,3.028776978417266,14,0,7,12,1,1,0,0,0,2,1,278
Robert Bentley,,,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,None,None,9.38,No,No,,,,,,No,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,278
Ryan Downing,RyanDowning2018,,CA,U.S. House California District 38,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,11.0,16.0,47.0,2.972972972972973,0,0,0,0,0,0,0,0,0,0,0,0
Young Kim,YoungKimCD39,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Advanced,None,On the Ballot,39.79,Yes,Yes,,,,,,Yes,,,,Yes,Yes,,,15.0,14.0,163.0,3.5416666666666665,1,1,0,6,6,7,0,0,0,3,1,192
Bob Huff,bobhuff99,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,11.53,No,No,,,,,,No,,,,No,No,,,10.0,3.0,19.0,2.5625,0,0,0,0,0,0,0,0,0,1,0,32
John Cullum,Cullum4Congress,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.24,No,No,,,,,,No,,,,No,No,,,0.0,0.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,4
Phil Liberatore,Phil_Liberatore,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,21.22,No,No,,,,,,No,,,,No,No,,,26.0,11.0,70.0,2.822429906542056,2,0,2,10,0,3,0,0,0,6,15,107
Shawn Nelson,NelsonforOC,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,12.45,No,Yes,,,,,,No,,,,No,No,,,4.0,11.0,60.0,3.493333333333333,0,0,0,2,0,1,0,0,0,7,3,75
Andrew Sarega,AndrewSarega,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,1.05,No,No,,,,,,No,,,,No,No,,,52.0,16.0,29.0,1.5257731958762886,2,0,1,5,0,3,1,0,0,1,35,97
Steve Vargas,VoteVargas,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,5.29,No,No,,,,,,No,,,,No,No,,,1.0,2.0,11.0,3.4285714285714284,0,0,0,0,0,0,0,0,0,0,0,14
Aja Smith,AjaforCongress,,CA,U.S. House California District 41,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,248.0,166.0,583.0,2.672016048144433,0,0,0,0,0,0,0,0,0,0,0,0
Omar Navarro,RealOmarNavarro,,CA,U.S. House California District 43,Representative,Regular,6/5/18,Advanced,None,On the Ballot,56.02,Yes,,,,,,,,,,,,,,,295.0,313.0,595.0,2.4987531172069826,7,3,3,16,2,8,0,0,1,8,100,1203
Frank DeMartini,frankdemartini,,CA,U.S. House California District 43,Representative,Regular,6/5/18,Lost,None,None,27.54,No,,,,,,,,,,,,,,,202.0,199.0,478.0,2.627986348122867,5,0,10,13,9,8,0,1,0,2,126,879
Edwin Duterte,DuterteCA,,CA,U.S. House California District 43,Representative,Regular,6/5/18,Lost,None,None,16.44,No,,,,,,,,,,,,,,,323.0,269.0,581.0,2.4398976982097187,0,8,6,19,33,42,5,0,0,10,41,1173
Jazmina Saavedra,jazminasaavedra,,CA,U.S. House California District 44,Representative,Regular,6/5/18,Lost,None,None,58.53,No,,,,,,,,,,,,,,,144.0,142.0,431.0,2.800557880055788,15,9,7,13,0,1,0,0,6,1,161,717
Stacey Dash,staceydash,,CA,U.S. House California District 44,Representative,Regular,6/5/18,Lost,None,None,41.47,No,,,,,,,,,,,,,,,569.0,597.0,1122.0,2.4833916083916083,32,1,13,42,12,6,1,5,1,8,101,2288
Russell Lambert,,,CA,U.S. House California District 46,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2288
