candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,has_twitter,num_endorsements,gun_control_tweet_count,health_care_tweet_count,abortion_tweet_count,immigration_tweet_count,kavanaugh_tweet_count,education_tweet_count,jobs_tweet_count,tax_tweet_count,fake_news_tweet_count,environment_tweet_count,sexual_assault_tweet_count,gender_tweet_count,women_tweet_count,lgbt_tweet_count,freedom_tweet_count,trump_tweet_count,num_tweets,count_negative,count_neutral,count_positive,sentiment,gun_control_sentiment,health_care_sentiment,abortion_sentiment,immigration_sentiment,kavanaugh_sentiment,education_sentiment,jobs_sentiment,tax_sentiment,fake_news_sentiment,environment_sentiment,sexual_assault_sentiment,gender_sentiment,women_sentiment,lgbt_sentiment,freedom_sentiment,trump_sentiment
Jeff Van Drew,JeffVanDrew,VanDrewForNJ,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-3.96,55.400002,Yes,White,No,No,Yes,No,No,No,Yes,,,,,,,,,No,,,,True,1,1,27,0,4,2,5,7,2,0,7,1,1,1,0,3,3,274,49,88,137,0.17883211678832114,,,,,,,0.0,0.0,,,,,,0.0,,
Nathan Kleinman,NateKleinman451,NateForCongress,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,-3.96,8.6000004,No,,No,No,No,No,No,No,No,,,,,,,,,No,,,,True,0,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,7,40,10,16,14,0.25,,,,,,,,,,,,,,,,
Tanzie Youngblood,tanziefornj,,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,-3.96,19.200001,No,Nonwhite,No,No,No,No,No,No,No,,,,,,,,,Yes,,,,True,1,57,23,1,9,0,6,14,8,0,14,1,1,4,2,7,18,785,104,225,456,0.13248407643312102,0.21153846153846154,0.0,,0.0,0.10526315789473684,0.2,0.14285714285714285,0.0,,0.0,0.19298245614035087,0.19298245614035087,0.19298245614035087,0.07142857142857142,1.0,0.1076923076923077
Will Cunningham,willfornj2,,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,-3.96,16.799999,No,Nonwhite,No,Yes,No,No,No,No,No,,,,,,,,,No,,,,True,0,30,4,0,1,0,2,3,0,0,0,0,0,0,4,1,9,149,28,40,81,0.1879194630872484,0.0,0.4,0.0,0.5,,0.2,0.25,,,0.0,1.0,1.0,1.0,0.5,,0.0
Jim Keady,JWKeady,,NJ,U.S. House New Jersey District 4,Representative,Regular,6/5/18,Lost,None,None,-16.01,42.799999,No,White,No,No,Yes,No,No,No,,,,,,,Yes,,,,Yes,,,True,2,28,16,1,5,5,3,22,3,1,11,3,3,3,3,0,34,509,66,216,227,0.12966601178781925,0.05263157894736842,0.14705882352941177,0.0,0.5,,0.1875,0.05,0.4,,0.0,0.0,0.0,0.25,0.0,0.0,0.19230769230769232
Josh Welle,JoshuaWelle,,NJ,U.S. House New Jersey District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-16.01,57.200001,Yes,,Yes,No,No,No,No,No,,,,,,,No,,,,No,,,True,0,28,31,3,11,6,13,19,4,0,12,3,3,5,21,5,42,864,132,238,494,0.1527777777777778,0.0,0.10256410256410256,0.0,0.14285714285714285,0.0,0.17073170731707318,0.18181818181818182,,,0.0,0.0,0.0,0.0,0.3333333333333333,,0.11764705882352941
Goutam Jois,goutamjois,,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Lost,None,None,-3.26,14.1,No,Nonwhite,No,No,No,No,No,No,No,,,No,,,No,No,,,,,,True,0,44,6,0,8,17,2,10,9,0,4,1,1,1,0,4,63,850,194,380,276,0.22823529411764704,0.2571428571428571,0.23809523809523808,0.14285714285714285,0.0,,0.2916666666666667,0.22807017543859648,,,0.16666666666666666,1.0,1.0,1.0,0.0,0.0,0.12
Peter Jacob,PeterJacobNJ,,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Lost,None,None,-3.26,19.1,No,Nonwhite,No,No,No,No,No,No,No,,,No,,,Yes,Yes,,,,,,True,2,7,27,0,5,0,4,12,1,0,9,1,1,1,0,7,9,269,61,91,117,0.2267657992565056,0.3333333333333333,0.0,0.0,,,0.3333333333333333,0.42857142857142855,,,1.0,,,,0.5,,0.14285714285714285
Tom Malinowski,Malinowski,,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-3.26,66.800003,Yes,,No,No,No,No,No,Yes,Yes,,,Yes,,,No,No,,,,,,True,2,17,28,1,8,2,1,8,14,0,2,1,1,2,1,2,63,487,180,179,128,0.3696098562628337,0.6666666666666666,0.2222222222222222,0.0,0.42857142857142855,0.3333333333333333,,0.5,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.38461538461538464
Jeff Apodaca,apo4nm,,NM,Governor of New Mexico,Governor,Regular,6/5/18,Lost,None,None,6.1599998,22.16,No,Nonwhite,No,No,No,Yes,No,No,,No,,,,,,,,,,,,True,0,6,49,0,3,0,23,45,2,0,15,0,0,0,0,0,2,467,41,121,305,0.08779443254817987,0.0,0.11428571428571428,1.0,,,0.2222222222222222,0.0,0.16666666666666666,,0.07692307692307693,,,,,,0.07692307692307693
