candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support
David Clifford,,,CA,U.S. House California District 47,Representative,Regular,6/5/18,Lost,None,None,45.52,No,,,,,,,,,,,,,,
Diane Harkey,diane_harkey,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Advanced,None,On the Ballot,52.93,Yes,Yes,,,,,,,,,,Yes,,,
Kristin Gaspar,KristinDGaspar,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,18.34,No,Yes,,,,,,,,,,No,,,
Rocky ChÌÁvez,RockyChavez4CA,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,15.66,No,Yes,,,,,,,,,,No,,,
Joshua Schoonover,JSSchoonover,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,1.55,No,No,,,,,,,,,,No,,,
Brian Maryott,brianlmaryott,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,6.26,No,No,,,,,,,,,,No,,,
Craig Nordal,nordal4congress,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,1.31,No,No,,,,,,,,,,No,,,
David Medway,drdavidmedway,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,1.22,No,No,,,,,,,,,,No,,,
Mike Schmitt,DrMikeSchmitt,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,2.72,No,No,,,,,,,,,,No,,,
Juan Hidalgo,HidalgoFor51st,,CA,U.S. House California District 51,Representative,Regular,6/5/18,Advanced,None,On the Ballot,49.39,Yes,,,,,,,,,,,,,,
Louis Fuentes,,,CA,U.S. House California District 51,Representative,Regular,6/5/18,Lost,None,None,53.9,No,,,,,,,,,,,,,,
John Renison Jr.,,,CA,U.S. House California District 51,Representative,Regular,6/5/18,Lost,None,None,45.22,No,,,,,,,,,,,,,,
Omar Qudrat,omarqudrat1,,CA,U.S. House California District 52,Representative,Regular,6/5/18,Advanced,None,On the Ballot,37.28,Yes,No,,,,,,,,,,,,,
James Veltmeyer,veltmeyer53rd,,CA,U.S. House California District 52,Representative,Regular,6/5/18,Lost,None,None,27.81,No,No,,,,,,,,,,,,,
John Horst,,,CA,U.S. House California District 52,Representative,Regular,6/5/18,Lost,None,None,8.25,No,No,,,,,,,,,,,,,
Danny Casara,,,CA,U.S. House California District 52,Representative,Regular,6/5/18,Lost,None,None,11.2,No,No,,,,,,,,,,,,,
Michael Allman,realMikeAllman,,CA,U.S. House California District 52,Representative,Regular,6/5/18,Lost,None,None,9.57,No,Yes,,,,,,,,,,,,,
Jeff Cullen,,,CA,U.S. House California District 52,Representative,Regular,6/5/18,Lost,None,None,5.88,No,No,,,,,,,,,,,,,
Morgan Murtaugh,morganmurtaugh,,CA,U.S. House California District 53,Representative,Regular,6/5/18,Advanced,None,On the Ballot,42.73,Yes,,,,,,,,,,,,,,
Matt Mendoza,,,CA,U.S. House California District 53,Representative,Regular,6/5/18,Lost,None,None,40.43,No,,,,,,,,,,,,,,
Brett Goda,,,CA,U.S. House California District 53,Representative,Regular,6/5/18,Lost,None,None,5.93,No,,,,,,,,,,,,,,
Shawn Gino Kane,,,CA,U.S. House California District 53,Representative,Regular,6/5/18,Lost,None,None,10.91,No,,,,,,,,,,,,,,
Andrew Grant,AndrewFGrant,,CA,U.S. House California District 7,Representative,Regular,6/5/18,Advanced,None,On the Ballot,69.15,Yes,Yes,,,,,,,,,,,,Yes,
Yona Barash,DrYonaBarash,,CA,U.S. House California District 7,Representative,Regular,6/5/18,Lost,None,None,30.85,No,No,,,,,,,,,,,,No,
Marla Livengood,marlalivengood,,CA,U.S. House California District 9,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,Yes,,,,,,,,
Jerry Laws,,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,3.04,No,,,,,,No,,,,,,,,
Kevin Mottus,Kevin_Mottus,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,3.94,No,,,,,,No,,,,,,,,
Roque De La Fuente,JoinRocky,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,6.11,No,,,,,,No,,,,,,,,
Tom Palzer,tom_palzer,TomPazer,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,9.26,No,,,,,,No,,,,,,,,
Patrick Little,,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,4.06,No,,,,,,No,,,,,,,,
Erin Cruz,RealErinCruz,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,12.06,No,,,,,,No,,,,,,,,
Mario Nabliba,ForSenate1,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,1.77,No,,,,,,No,,,,,,,,
Paul Taylor,,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,14.59,No,,,,,,Yes,,,,,,,,
Arun Bhumitra,IAmArunBhumitra,ArunKBhumitra,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,15.82,No,,,,,,No,,,,,,,,
James Bradley,JamesBradleyMBA,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,25.08,No,,,,,,No,,,,,,,,
John Crew,,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,4.24,No,,,,,,No,,,,,,,,
Walker Stapleton,WalkerStapleton,,CO,Governor of Colorado,Governor,Regular,6/26/18,Advanced,None,On the Ballot,47.67,Yes,,,,,,,,,,,,,,
Greg Lopez,Lopez4Governor,,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,13.2,No,,,,,,,,,,,,,,
Victor Mitchell,_VictorMitchell,,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,30.12,No,,,,,,,,,,,,,,
Doug Robinson,DougRobinsonCO,,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,9.01,No,,,,,,,,,,,,,,
Casper Stockham,Casper4Colorado,,CO,U.S. House Colorado District 1,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,
Peter Yu,PeterYuCO,,CO,U.S. House Colorado District 2,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,
Mark Barrington,,,CO,U.S. House Colorado District 7,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,
Bob Stefanowski,bobforgovernor,,CT,Governor of Connecticut,Governor,Regular,8/14/18,Advanced,None,On the Ballot,29.3,Yes,,,,,,,,,,,,,,
Mark Boughton,MayorMark,,CT,Governor of Connecticut,Governor,Regular,8/14/18,Lost,None,None,21.2,No,,,,,,,,,,,,,,
Steve Obsitnik,SteveObsitnik,,CT,Governor of Connecticut,Governor,Regular,8/14/18,Lost,None,None,13.5,No,,,,,,,,,,,,,,
Tim Herbst,timherbst,,CT,Governor of Connecticut,Governor,Regular,8/14/18,Lost,None,None,17.6,No,,,,,,,,,,,,,,
David Stemerman,DavidStemerman,,CT,Governor of Connecticut,Governor,Regular,8/14/18,Lost,None,None,18.4,No,,,,,,,,,,,,,,
Jennifer Nye,JenniferNye211,,CT,U.S. House Connecticut District 1,Representative,Regular,8/14/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,
Dan Postemski,,,CT,U.S. House Connecticut District 2,Representative,Regular,8/14/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,
Angel Cadena,hiro4you2,,CT,U.S. House Connecticut District 3,Representative,Regular,8/14/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,
Harry Arora,HarryForCT,,CT,U.S. House Connecticut District 4,Representative,Regular,8/14/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,
Manny Santos,MannySantos123,,CT,U.S. House Connecticut District 5,Representative,Regular,8/14/18,Advanced,None,On the Ballot,51.7,Yes,,,,,,,,,,,,,,
Ruby Corby O'Neill,rubycorbyoneill,,CT,U.S. House Connecticut District 5,Representative,Regular,8/14/18,Lost,None,None,26.7,No,,,,,,,,,,,,,,
Rich DuPont,DuPont4Congress,,CT,U.S. House Connecticut District 5,Representative,Regular,8/14/18,Lost,None,None,21.7,No,,,,,,,,,,,,,,
Matthew Corey,MattCoreyCT,,CT,U.S. Senate Connecticut,Senator,Regular,8/14/18,Advanced,None,On the Ballot,76.7,Yes,,,,,,,,,,,,,,
Dominic Rapini,MacDommer,,CT,U.S. Senate Connecticut,Senator,Regular,8/14/18,Lost,None,None,23.3,No,,,,,,,,,,,,,,
Lee Murphy,goMurph2020,,DE,U.S. House Delaware At-large District,Representative,Regular,9/6/18,Lost,None,None,47,No,,,,,,,,,,,,,,
Scott Walker,,,DE,U.S. House Delaware At-large District,Representative,Regular,9/6/18,Advanced,None,On the Ballot,53,Yes,,,,,,,,,,,,,,
Gene Truono,,,DE,U.S. Senate Delaware,Senator,Regular,9/6/18,Lost,None,None,28,No,,,,,,,,,,,,,,
Robert Arlett,RobArlett,,DE,U.S. Senate Delaware,Senator,Regular,9/6/18,Advanced,None,On the Ballot,66.8,Yes,,,,,,,,,,,,,,
Roque De La Fuente,JoinRocky,,DE,U.S. Senate Delaware,Senator,Regular,9/6/18,Lost,None,None,5.3,No,,,,,,,,,,,,,,
Bruce Nathan,brucenathan2018,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,0.9,No,,,,,,No,,,No,,,,No,
Ron DeSantis,RonDeSantisFL,,FL,Governor of Florida,Governor,Regular,8/28/18,Advanced,None,On the Ballot,56.5,Yes,,Yes,,,,,,,Yes,,,,No,
Don Baldauf,FreeFavorsBold,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,0.8,No,,No,,,,No,,,No,,,,No,
Bob White,BobWhiteForGov,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,2,No,,No,,,,No,,,No,,,,No,
Adam Putnam,adamputnam,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,36.6,No,,No,,,,,,,No,,,,Yes,
Timothy Devine,,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,1.3,No,,No,,,,No,,,No,,,,No,
Bob Langford,,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,1.2,No,,No,,,,No,,,No,,,,No,
John Joseph Mercadante,gzijcqzw,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,0.7,No,,No,,,,No,,,No,,,,No,
George Buck,gbuck_jr,,FL,U.S. House Florida District 13,Representative,Regular,8/28/18,Advanced,None,On the Ballot,56,Yes,,,,,,Yes,,,,,,,,
Brad Sostack,BradSostack,,FL,U.S. House Florida District 13,Representative,Regular,8/28/18,Lost,None,None,44,No,,,,,,No,,,,,,,,
